id,ts_et,symbol,source,verdict,entry,stop,target,risk_per_share,shares,risk_usd,room_to_peak_R,gates,context,taken,fill_price,outcome,pnl_usd,mfe_R,mae_R,counterfactual_R,measured_at,error_class,notes
20260817-IPST-01,2026-08-17 10:50,IPST,pine-strategy,TRIGGER-SET,7.46,7.30,7.78,0.16,1249,200.00,—,+ + ? + + + +,+267% day; RTH vol 75.5M; HOD 9.66,yes,7.46,LOSS,-25,+0.88,-1.00,"-1.00 (stop 7.30 touched 10:55, before target 10:58)",2026-08-17,NONE,BAILOUT fired 10:53 on close 7.44 < entry. Looks like it cut the 9.66 rip; measured 2026-08-17 by walk-forward from tape.py 1-min bars says the stop was touched FIRST. Bailout saved ~0.87R.
20260817-TRUG-01,2026-08-17 10:25,TRUG,pine-strategy,TRIGGER-SET,1.7801,1.7300,1.8803,0.0501,3992,200.00,0.4,+ + ? + + + +,+77% day; HOD 1.82 @10:23; halt band 0.344,no,—,NOT-TAKEN,—,—,—,-1.00 (10:28 low 1.56 < stop),2026-08-17,PRESENTATION,"Never filled: highs printed exactly 1.78 four bars running, never 1.7801. Only 0.4R room to the 1.82 peak, rendered in silver. Fixed V4.8."
20260817-TRUG-02,2026-08-17 10:25,TRUG,chat,NO,—,—,—,—,—,—,—,,"operator entry ~1.71, below the 1.7801 trigger",yes,1.71,LOSS,—,,,—,2026-08-17,ANTICIPATION,No proposition existed at 1.71. Acting before the trigger is a separate error from the trigger being wrong. Logged so the two never merge.
20260811-MSGY-01,2026-08-11 10:26,MSGY,chat,NO,—,—,—,,,,—,+ + + + + + +,float 0.56M; RVOL 272x; 1-for-8 reverse split; 33-min halt,no,,NOT-TAKEN,,,,+ ran 4.39 -> 5.43 (+24%),"measured in-session (tape.py, timestamped in transcript)",SELECTION,"Gate 5 fired without its precondition: prev close was ALREADY split-adjusted, so the gap was real. Every other gate passed. FILTERS.md corrected 08-11."
20260814-WETO-01,2026-08-14 09:20,WETO,now-board,REVIEW,—,—,—,,,,—,+ + + + ? + +,float 0.86M; +176% PM; 19.1M shares pre-market; 52w high 24x,no,,NOT-TAKEN,,,,"-1.00 (opened 10.65, low 9.70 in bar one)","measured in-session (tape.py, timestamped in transcript)",VARIANCE,STAR at 09:20; 29.4M shares traded in the 09:30 bar alone (34x float) and it lost 10.00 immediately. The pre-market crowding warning WAS printed and was correct.
20260814-ONFO-01,2026-08-14 10:31,ONFO,now-board,WATCH,4.00,—,—,,,,—,+ ? + + + - -,float unpublished; 1-for-50 reverse split; 52M shares,yes,—,WIN,—,,,"+ reclaimed 4.00 at 10:56, printed 5.57 by 11:03 (+39%)","measured in-session (tape.py, timestamped in transcript)",NARRATION,"Board ranked it #1 and named the 4.00 reclaim. My chat messages spent that window discussing WETO. Tool right, narration wrong. Operator took it and won."
20260814-HHS-01,2026-08-14 10:04,HHS,now-board,NO,—,—,—,,,,—,+ + - + + + -,acquired by Star Equity at $5.00/share,no,,NOT-TAKEN,,,,pinned 4.2-4.5 all session,"measured in-session (tape.py, timestamped in transcript)",NONE,Buyout veto worked: price never left the deal band. Gate 8 added to FILTERS.md.
20260813-FGI-01,2026-08-13 10:52,FGI,chat,REVIEW,11.45,10.80,—,0.65,250,162,—,+ + + + + + +,float 0.52M; 5 halts; MACD recrossed 10:49,yes,—,WIN,+1750,,,+ ran to 19.93 by 12:37,"measured in-session (tape.py, timestamped in transcript)",NONE,"All nine gates green, trigger named at 11.19 break. Operator net +1750 across 8 fills. Two 2000-share entries at leg tops cost 1890 of it."
20260812-WYHG-01,2026-08-12 10:58,WYHG,chat,NO,—,—,—,,,,—,+ ? - - - - -,day 4 of a fade; cash/sh 7.24 > price; 6-K filer,no,,NOT-TAKEN,,,,- continued to 5.26 by 08-14,"measured in-session (tape.py, timestamped in transcript)",NONE,Correct reject. Lower highs 26.17 -> 12.70 -> 9.42; the placement risk flagged as the 6-K blind spot did not fire that day but the fade did.
20260811-TDIC-01,2026-08-11 11:08,TDIC,chat,NO,—,—,—,,,,—,+ + - + - + +,$18M equity line vs $10.3M cap; 52w high 334x,yes,3.03,LOSS,-40,,,—,"measured in-session (tape.py, timestamped in transcript)",NONE,Reject was correct and cheap. Chart gates passed; the structural veto (equity line larger than the company) was the right call.
